nickname,season,uuid,elo_rate,elo_rank,country
lowk3y_,8,7665f76f431b41c6b321bea16aff913b,2387.0,10.0,
Ranik_,8,5ee577fdc1af45d3a6fb3e086cc293fb,2059.0,67.0,il
silverrruns,8,17e787d1d6374f818b294f2319db370d,2260.0,18.0,ca
hackingnoises,8,7c92678742eb4e819f3122017697ae3d,2480.0,2.0,hk
KenanKardes,8,0b164a03002048d3955715422179eedf,2110.0,48.0,az
TUDORULE,8,78a8ec9f99d34371b73decd2a78ff9b0,2274.0,16.0,ro
v_strid,8,388533d5a2ad4b349a31db4738670a4b,2364.0,12.0,se
Feinberg,9,9a8e24df4c8549d696a6951da84fa5c4,2462.0,3.0,us
Infume,9,a54e3bc4c6354b07a236b81efbcfe791,2397.0,9.0,us
edcr,9,635f35ee69ed4f0c94ff26ece4818956,2600.0,1.0,gb
steez,9,a5d83ff042164ff1b862dedc118c1dae,2432.0,5.0,gb
hackingnoises,9,7c92678742eb4e819f3122017697ae3d,2480.0,2.0,hk
Aquacorde,9,253b53d832ab4bafb5ee0308d5164ccf,2252.0,21.0,ca
nhb_,9,2fe70934e7be458dba747c4ac830391c,2278.0,15.0,
silverrruns,9,17e787d1d6374f818b294f2319db370d,2260.0,18.0,ca
Pinne,9,aa5a894a4d5340f49683fdfd1ea9c523,2176.0,38.0,no
BeefSalad,9,3b01d4b4fef14f178b75f05c04dd34ef,2097.0,54.0,gb
nahhann,9,2ef2bfed3d084649b56290328970ace9,2402.0,8.0,us
lowk3y_,9,7665f76f431b41c6b321bea16aff913b,2387.0,10.0,
doogile,9,3c8757790ab0400b8b9e3936e0dd535b,2385.0,11.0,us
HDMICables,9,0c3cc22849a343b0964a89ac842fa3ca,2208.0,27.0,nl
bing_pigs,9,92b63a39b36a445fa94c77ae212dcea3,2409.0,6.0,au
BlazeMind,9,ac601ce7376f49cea7ce14cd577dac85,2362.0,13.0,au
