nickname,seasons_played,avg_winrate,avg_finish_ms,best_finish_ms,avg_consistency,avg_elo,avg_matches,cluster,pc1,pc2
7rowl,8,0.6575591716067845,613623.9058183176,42882.0,0.759034839877239,2273.0,108.25,1,1.784461800399026,0.17754099883818092
ANJOUU,2,0.5015989340439707,640410.0225344645,11744.0,0.6533297083616774,2231.0,87.0,3,-0.3819811900849123,0.3183054398553509
Ancoboyy,6,0.49897802832629906,622329.7204014802,3754.0,0.7449660784205755,2179.0,108.0,1,0.8251539003223012,1.1504581756854981
Aquacorde,4,0.6360488853075477,583087.8523539889,113648.0,0.7811996718129294,2252.0,76.5,0,1.1825160129301902,-0.9990551779866033
AutomattPLUS,3,0.6851028806584362,650867.9422619864,165039.0,0.7391559844178786,2066.0,72.0,2,-0.14607792007910902,-1.3604134374569021
Ayreliaa,1,0.4032258064516129,664139.92,384498.0,0.8070852875826652,,62.0,0,-0.49160836805934616,-0.0032942340594276347
BadGamer,1,0.6282051282051282,545983.1224489796,33238.0,0.7221964232416183,2408.0,78.0,0,1.1491074114026396,-1.180006523275599
BeefSalad,6,0.4868605991265762,595696.7470533933,3357.0,0.7075535667072138,2097.0,125.83333333333333,1,0.7742963287287157,1.7948900079913006
BlazeMind,1,0.5056179775280899,556272.4666666667,242455.0,0.809023099435801,2362.0,89.0,0,1.218035314980764,-0.13452745319634402
Bloonskiller,1,0.4782608695652174,805185.5,321072.0,0.7357711400503189,2232.0,46.0,4,-1.849600221140863,-0.7258929700283833
CroProYT,2,0.7277777777777777,753399.4264705882,204038.0,0.6605183478446377,1930.0,32.5,2,-2.0715488210846345,-2.576328792347726
Cube1337x,1,0.5666666666666667,629503.5098039216,97048.0,0.6921621975128042,1846.0,90.0,4,-1.1289966211964875,-0.09192808904924785
DARVY__X1,1,0.5576923076923077,536938.7413793104,96283.0,0.7420694642171517,2304.0,104.0,0,1.1224138810099469,0.03113223711985507
Dylqn,1,0.5052631578947369,775210.8333333334,152261.0,0.7617751639353707,1441.0,95.0,4,-3.1068825433339358,0.6471036144171244
Emillk,1,0.5463917525773195,793611.0566037736,202391.0,0.7115243163495408,1763.0,97.0,4,-2.5720083743191515,0.40957058094880483
Erikfzf,1,0.48484848484848486,620309.2291666666,160434.0,0.7188633196762162,2256.0,99.0,0,0.05231636369926655,0.5390981377291385
Feinberg,4,0.5719918569204508,657807.2873968164,117058.0,0.5704350922528089,2462.0,90.0,3,0.14553702106258742,0.17713796375863244
HDMICables,1,0.5846153846153846,531772.947368421,103050.0,0.7555919915335785,2208.0,65.0,0,0.7298853482711714,-1.2416607356700242
Hinart,1,0.6021505376344086,581848.9821428572,72358.0,0.6384545407079036,1846.0,93.0,3,-0.9031878463604948,-0.21621561217824414
Infume,3,0.6004444552289208,534919.2240092376,7689.0,0.817629329449422,2397.0,118.33333333333333,0,2.214972977252655,0.16553837730019275
KenanKardes,2,0.5223577235772358,601750.5342674383,125128.0,0.7529874956623499,2110.0,110.5,0,0.2893696199867976,0.6675097774120601
MoleyG,1,0.41414141414141414,718046.5609756098,4590.0,0.6714638260145597,1895.0,99.0,4,-2.0096737775060074,1.3314250390442663
MrBudgiee,1,0.6626506024096386,674629.8909090909,125369.0,0.6200321262342914,2086.0,83.0,3,-1.0975180540610785,-0.8725163247288878
Oxidiot,6,0.5825481012004537,613990.0196526679,17186.0,0.7153417460177165,2200.0,88.16666666666667,1,0.8040106567971144,0.046628272831251635
Pinne,1,0.8,599811.25,327041.0,0.7848088423281567,2176.0,10.0,2,0.17736126945870534,-4.247623003558147
Ranik_,3,0.566922781009328,715922.7972188876,4717.0,0.6401939138963958,2059.0,103.33333333333333,4,-1.1097437877179976,0.5707650454947912
Reignex,1,0.75,688958.6666666666,136219.0,0.6001094586912883,,96.0,3,-0.7917594728909867,-1.1055710382249526
