match_id,season,date,nickname,uuid,opponent,elo_before,elo_change,won,finish_time_ms,forfeited,is_playoff_player,seed_type,bastion_type
2739098,8,1755102522,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,KenanKardes,2097.0,21.0,True,596760.0,False,True,RUINED_PORTAL,STABLES
2739098,8,1755102522,KenanKardes,0b164a03002048d3955715422179eedf,BeefSalad,2110.0,-21.0,False,,False,True,RUINED_PORTAL,STABLES
2739009,8,1755101760,TheLandSharkJeff,070d5851c46a4a2da91e6ddfdb741d7f,BeefSalad,1818.0,-14.0,False,,False,False,SHIPWRECK,HOUSING
2739009,8,1755101760,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,TheLandSharkJeff,2097.0,14.0,True,612571.0,False,True,SHIPWRECK,HOUSING
2738924,8,1755101074,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,DARVY__X1,2097.0,-18.0,False,,False,True,RUINED_PORTAL,TREASURE
2738924,8,1755101074,DARVY__X1,5a32f1e5609847c691c07730f973397c,BeefSalad,2304.0,18.0,True,584116.0,False,True,RUINED_PORTAL,TREASURE
2738838,8,1755100411,CroProYT,4129d8d1aafb4e73b97b9999db248060,BeefSalad,1930.0,-19.0,False,,False,False,DESERT_TEMPLE,HOUSING
2738838,8,1755100411,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,CroProYT,2097.0,19.0,True,623860.0,False,True,DESERT_TEMPLE,HOUSING
2738752,8,1755099741,nhb_,2fe70934e7be458dba747c4ac830391c,BeefSalad,2278.0,23.0,True,497997.0,False,False,RUINED_PORTAL,STABLES
2738752,8,1755099741,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,nhb_,2097.0,-23.0,False,,False,True,RUINED_PORTAL,STABLES
2738682,8,1755099165,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,v_strid,2097.0,20.0,True,481511.0,False,True,RUINED_PORTAL,BRIDGE
2738682,8,1755099165,v_strid,388533d5a2ad4b349a31db4738670a4b,BeefSalad,2364.0,-20.0,False,,False,True,RUINED_PORTAL,BRIDGE
2738609,8,1755098555,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,Bloonskiller,2097.0,-21.0,False,,False,True,SHIPWRECK,TREASURE
2738609,8,1755098555,Bloonskiller,00f996cd910f479ba0903d85c2bdb1e0,BeefSalad,2232.0,21.0,True,709635.0,False,False,SHIPWRECK,TREASURE
2738516,8,1755097801,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,pardonmc,2097.0,14.0,True,580632.0,False,True,VILLAGE,BRIDGE
2738516,8,1755097801,pardonmc,8195522a3c574d86b2162c8b8ec8bd3d,BeefSalad,1689.0,-14.0,False,,False,False,VILLAGE,BRIDGE
2738428,8,1755097091,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,Bloonskiller,2097.0,22.0,True,774803.0,False,True,RUINED_PORTAL,STABLES
2738428,8,1755097091,Bloonskiller,00f996cd910f479ba0903d85c2bdb1e0,BeefSalad,2232.0,-22.0,False,,False,False,RUINED_PORTAL,STABLES
2738326,8,1755096254,JustAltoid,d7d0b271136647fea7398a444ab51c13,BeefSalad,1902.0,-13.0,False,,False,False,VILLAGE,HOUSING
2738326,8,1755096254,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,JustAltoid,2097.0,13.0,True,559978.0,False,True,VILLAGE,HOUSING
2738247,8,1755095611,TUDORULE,78a8ec9f99d34371b73decd2a78ff9b0,BeefSalad,2274.0,16.0,True,533653.0,False,True,SHIPWRECK,BRIDGE
2738247,8,1755095611,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,TUDORULE,2097.0,-16.0,False,,False,True,SHIPWRECK,BRIDGE
2738121,8,1755094524,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,ulsah1n,2097.0,-20.0,False,,False,True,BURIED_TREASURE,HOUSING
2738121,8,1755094524,ulsah1n,553414a2c89b4d6b8c0ba5bd89284508,BeefSalad,2259.0,20.0,True,535722.0,False,False,BURIED_TREASURE,HOUSING
2738044,8,1755093936,TUDORULE,78a8ec9f99d34371b73decd2a78ff9b0,BeefSalad,2274.0,19.0,True,543454.0,False,True,SHIPWRECK,STABLES
2738044,8,1755093936,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,TUDORULE,2097.0,-19.0,False,,False,True,SHIPWRECK,STABLES
2737967,8,1755093339,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,pardonmc,2097.0,-2.0,,,True,True,RUINED_PORTAL,STABLES
2737967,8,1755093339,pardonmc,8195522a3c574d86b2162c8b8ec8bd3d,BeefSalad,1689.0,2.0,,,True,False,RUINED_PORTAL,STABLES
2737868,8,1755092530,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,JustAltoid,2097.0,13.0,True,561925.0,False,True,DESERT_TEMPLE,TREASURE
2737868,8,1755092530,JustAltoid,d7d0b271136647fea7398a444ab51c13,BeefSalad,1902.0,-13.0,False,,False,False,DESERT_TEMPLE,TREASURE
2737792,8,1755091885,TUDORULE,78a8ec9f99d34371b73decd2a78ff9b0,BeefSalad,2274.0,-24.0,False,,False,True,VILLAGE,TREASURE
2737792,8,1755091885,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,TUDORULE,2097.0,24.0,True,649684.0,False,True,VILLAGE,TREASURE
2737710,8,1755091114,orachi_,56714245be364bd1a469d0853552c109,BeefSalad,2004.0,1.0,,,True,False,DESERT_TEMPLE,STABLES
2737710,8,1755091114,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,orachi_,2097.0,-1.0,,,True,True,DESERT_TEMPLE,STABLES
2737629,8,1755090419,DARVY__X1,5a32f1e5609847c691c07730f973397c,BeefSalad,2304.0,17.0,True,521077.0,False,True,DESERT_TEMPLE,HOUSING
2737629,8,1755090419,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,DARVY__X1,2097.0,-17.0,False,,False,True,DESERT_TEMPLE,HOUSING
2726196,8,1754970309,BlazeMind,ac601ce7376f49cea7ce14cd577dac85,BeefSalad,2362.0,14.0,True,174445.0,True,False,SHIPWRECK,STABLES
2726196,8,1754970309,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,BlazeMind,2097.0,-14.0,False,,True,True,SHIPWRECK,STABLES
2726182,8,1754970076,doogile,3c8757790ab0400b8b9e3936e0dd535b,BeefSalad,2385.0,16.0,True,188637.0,True,True,DESERT_TEMPLE,STABLES
2726182,8,1754970076,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,doogile,2097.0,-16.0,False,,True,True,DESERT_TEMPLE,STABLES
2726158,8,1754969809,thecamo6,939ddf85303441de901d60bfa4109318,BeefSalad,1975.0,28.0,True,717542.0,False,False,DESERT_TEMPLE,TREASURE
2726158,8,1754969809,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,thecamo6,2097.0,-28.0,False,,False,True,DESERT_TEMPLE,TREASURE
2726022,8,1754968349,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,BlazeMind,2097.0,-16.0,False,,True,True,SHIPWRECK,STABLES
2726022,8,1754968349,BlazeMind,ac601ce7376f49cea7ce14cd577dac85,BeefSalad,2362.0,16.0,True,324379.0,True,False,SHIPWRECK,STABLES
2725982,8,1754967972,doogile,3c8757790ab0400b8b9e3936e0dd535b,BeefSalad,2385.0,20.0,True,558015.0,False,True,DESERT_TEMPLE,STABLES
2725982,8,1754967972,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,doogile,2097.0,-20.0,False,,False,True,DESERT_TEMPLE,STABLES
2725937,8,1754967379,v_strid,388533d5a2ad4b349a31db4738670a4b,BeefSalad,2364.0,24.0,True,675002.0,False,True,DESERT_TEMPLE,TREASURE
2725937,8,1754967379,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,v_strid,2097.0,-24.0,False,,False,True,DESERT_TEMPLE,TREASURE
2725862,8,1754966666,BeefSalad,3b01d4b4fef14f178b75f05c04dd34ef,thecamo6,2097.0,-30.0,False,,True,True,SHIPWRECK,HOUSING
